project_id,deployment_id,placename,longitude,latitude,start_date,end_date,bait_type,bait_description,feature_type,feature_type_methodology,camera_id,camera_name,quiet_period,camera_functioning,sensor_height,height_other,sensor_orientation,orientation_other,plot_treatment,plot_treatment_description,detection_distance,subproject_name,subproject_design,event_name,event_description,event_type,recorded_by,remarks
2007494,AZCAM52 - 20240318,AZ052,-80.08065,7.45433,08/02/2024 0:00,18/03/2024 0:00,None,,Other,,2106218,AZCAM52,1,Camera Functioning,Knee height,,Parallel,,,,4.5,,,,,,,
2007494,AZCAM03 - 20240322,AZ003,-80.16464,7.41481,25/01/2024 0:00,22/03/2024 0:00,None,,Other,,2105351,AZCAM03,1,Camera Functioning,Knee height,,Parallel,,,,5,,,,,,,
2007494,AZCAM34 - 20240315,AZ034,-80.20664,7.44692,01/02/2024 0:00,15/03/2024 0:00,None,,Other,,2105901,AZCAM34,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007494,AZCAM08 - 20240322,AZ008,-80.16959,7.41975,26/01/2024 0:00,22/03/2024 0:00,None,,Other,,2105623,AZCAM08,1,Camera Functioning,Knee height,,Parallel,,,,5,,,,,,,
2007494,AZCAM20 - 20240315,AZ020,-80.2017,7.43951,29/01/2024 0:00,15/03/2024 0:00,None,,Other,,2105805,AZCAM20,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007494,AZCAM33 - 20240315,AZ033,-80.20911,7.44692,01/02/2024 0:00,15/03/2024 0:00,None,,Trail game,,2105899,AZCAM33,3,Camera Functioning,Knee height,,Parallel,,,,4.3,,,,,,,
2007494,AZCAM42 - 20240319,AZ042,-80.07818,7.44692,08/02/2024 0:00,19/03/2024 0:00,None,,Other,,2105916,AZCAM42,1,Camera Functioning,Knee height,,Parallel,,,,3,,,,,,,
2007494,AZCAM44 - 20240321,AZ044,-80.08793,7.44944,08/02/2024 0:00,21/03/2024 0:00,None,,Other,,2105923,AZCAM44,1,Camera Functioning,Knee height,,Parallel,,,,5.2,,,,,,,
2007494,AZCAM47 - 20240318,AZ047,-80.08065,7.44939,08/02/2024 0:00,18/03/2024 0:00,None,,Other,,2106014,AZCAM47,1,Camera Functioning,Knee height,,Parallel,,,,4.5,,,,,,,
2007494,AZCAM24 - 20240315,AZ024,-80.20155,7.44185,29/01/2024 0:00,15/03/2024 0:00,None,,Other,,2105808,AZCAM24,1,Camera Functioning,Knee height,,Parallel,,,,3,,,,,,,
2007494,AZCAM53 - 20240321,AZ053,-80.08768,7.45123,09/02/2024 0:00,21/03/2024 0:00,None,,Other,,2106219,AZCAM53,1,Camera Functioning,Knee height,,Parallel,,,,3.5,,,,,,,
2007494,AZCAM43 - 20240319,AZ043,-80.0715,7.44729,08/02/2024 0:00,19/03/2024 0:00,None,,Other,,2105922,AZCAM43,1,Camera Functioning,Knee height,,Parallel,,,,10,,,,,,,
2007494,AZCAM36 - 20240319,AZ036,-80.09033,7.44193,07/02/2024 0:00,19/03/2024 0:00,None,,Trail game,,2105905,AZCAM36,1,Camera Functioning,Knee height,,Parallel,,,,5,,,,,,,
2007494,AZCAM26 - 20240312,AZ026,-80.19431,7.44201,02/02/2024 0:00,12/03/2024 0:00,None,,Other,,2105811,AZCAM26,1,Camera Functioning,Knee height,,Parallel,,,,3.6,,,,,,,
2007494,AZCAM09 - 20240322,AZ009,-80.16711,7.41975,26/01/2024 0:00,22/03/2024 0:00,None,,Other,,2105624,AZCAM09,1,Camera Functioning,Knee height,,Parallel,,,,4.6,,,,,,,
2007494,AZCAM13 - 20240312,AZ013,-80.16217,7.42222,30/01/2024 0:00,12/03/2024 0:00,None,,Other,,2105629,AZCAM13,2,Camera Functioning,Knee height,,Parallel,,,,4,,,,,,,
2007494,AZCAM18 - 20240315,AZ018,-80.20664,7.43951,29/01/2024 0:00,15/03/2024 0:00,None,,Trail game,,2105795,AZCAM18,1,Camera Functioning,Knee height,,Parallel,,,,6,,,,,,,
2007494,AZCAM41 - 20240321,AZ041,-80.08065,7.44692,08/02/2024 0:00,21/03/2024 0:00,None,,Other,,2105912,AZCAM41,1,Camera Functioning,Knee height,,Parallel,,,,5,,,,,,,
2007494,AZCAM30 - 20240312,AZ030,-80.19688,7.44456,02/02/2024 0:00,12/03/2024 0:00,None,,Other,,2105880,AZCAM30,1,Camera Functioning,Knee height,,Parallel,,,,3,,,,,,,
2007494,AZCAM25 - 20240312,AZ025,-80.19678,7.44202,02/02/2024 0:00,12/03/2024 0:00,None,,Other,,2105809,AZCAM25,1,Camera Functioning,Knee height,,Parallel,,,,5,,,,,,,
2007494,AZCAM04 - 20240322,AZ004,-80.17206,7.41728,26/01/2024 0:00,22/03/2024 0:00,None,,Other,,2105355,AZCAM04,1,Camera Functioning,Knee height,,Parallel,,,,5,,,,,,,
2007494,AZCAM40 - 20240321,AZ040,-80.08312,7.44692,07/02/2024 0:00,21/03/2024 0:00,None,,Other,,2105911,AZCAM40,1,Camera Functioning,Knee height,,Parallel,,,,5,,,,,,,
2007494,AZCAM31 - 20240312,AZ031,-80.19433,7.44456,02/02/2024 0:00,12/03/2024 0:00,None,,Trail game,,2105895,AZCAM31,1,Camera Functioning,Knee height,,Parallel,,,,6.5,,,,,,,
2007494,AZCAM39 - 20240321,AZ039,-80.08559,7.44692,07/02/2024 0:00,21/03/2024 0:00,None,,Other,,2105910,AZCAM39,2,Camera Functioning,Knee height,,Parallel,,,,3.3,,,,,,,
2007494,AZCAM49 - 20240318,AZ049,-80.08559,7.45186,08/02/2024 0:00,18/03/2024 0:00,None,,Other,,2106017,AZCAM49,1,Camera Functioning,Knee height,,Parallel,,,,5.3,,,,,,,
2007494,AZCAM32 - 20240312,AZ032,-80.19182,7.4445,23/02/2024 0:00,12/03/2024 0:00,None,,Other,,2105896,AZCAM32,1,Camera Functioning,Knee height,,Parallel,,,,4.6,,,,,,,
2007494,AZCAM16 - 20240312,AZ016,-80.15642,7.42702,30/01/2024 0:00,12/03/2024 0:00,None,,Other,,2105676,AZCAM16,0,Camera Functioning,Knee height,,Parallel,,,,5,,,,,,,
2007494,AZCAM21 - 20240315,AZ021,-80.20911,7.44198,29/01/2024 0:00,15/03/2024 0:00,None,,Other,,2105806,AZCAM21,1,Camera Functioning,Knee height,,Parallel,,,,4,,,,,,,
2007494,AZCAM10 - 20240322,AZ010,-80.16457,7.41994,20/02/2024 0:00,22/03/2024 0:00,None,,Other,,2105625,AZCAM10,1,Camera Functioning,Knee height,,Parallel,,,,7.7,,,,,,,
2007494,AZCAM45 - 20240321,AZ045,-80.08559,7.44939,08/02/2024 0:00,21/03/2024 0:00,None,,Other,,2105968,AZCAM45,1,Camera Functioning,Knee height,,Parallel,,,,5.2,,,,,,,
2007494,AZCAM02 - 20240322,AZ002,-80.16712,7.41481,25/01/2024 0:00,22/03/2024 0:00,None,,Other,,2105341,AZCAM02,1,Camera Functioning,Knee height,,Parallel,,,,6,,,,,,,
2007494,AZCAM11 - 20240312,AZ011,-80.162,7.4198,30/01/2024 0:00,12/03/2024 0:00,None,,Other,,2105626,AZCAM11,1,Camera Functioning,Knee height,,Parallel,,,,7,,,,,,,
2007494,AZCAM28 - 20240315,AZ028,-80.20915,7.44468,01/02/2024 0:00,15/03/2024 0:00,None,,Trail game,,2105813,AZCAM28,1,Camera Functioning,Knee height,,Parallel,,,,5,,,,,,,
2007494,AZCAM19 - 20240315,AZ019,-80.20422,7.43939,29/01/2024 0:00,15/03/2024 0:00,None,,Other,,2105796,AZCAM19,1,Camera Functioning,Knee height,,Parallel,,,,5,,,,,,,
2007494,AZCAM48 - 20240319,AZ048,-80.07818,7.44939,08/02/2024 0:00,19/03/2024 0:00,None,,Other,,2106016,AZCAM48,1,Camera Functioning,Knee height,,Parallel,,,,5,,,,,,,
2007494,AZCAM37 - 20240319,AZ037,-80.09151,7.44413,07/02/2024 0:00,19/03/2024 0:00,None,,Trail game,,2105906,AZCAM37,2,Camera Functioning,Knee height,,Parallel,,,,5.1,,,,,,,
2007494,AZCAM06 - 20240322,AZ006,-80.16712,7.41728,26/01/2024 0:00,22/03/2024 0:00,None,,Other,,2105357,AZCAM06,1,Camera Functioning,Knee height,,Parallel,,,,5,,,,,,,
2007494,AZCAM27 - 20240312,AZ027,-80.19182,7.44198,02/02/2024 0:00,12/03/2024 0:00,None,,Other,,2105812,AZCAM27,1,Camera Functioning,Knee height,,Parallel,,,,2,,,,,,,
2007494,AZCAM38 - 20240319,AZ038,-80.07402,7.44399,08/02/2024 0:00,14/03/2024 0:00,None,,Other,,2105907,AZCAM38,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,,
2007494,AZCAM01 - 20240322,AZ001,-80.16959,7.41481,25/01/2024 0:00,22/03/2024 0:00,None,,Other,,2105332,AZCAM01,1,Camera Functioning,Knee height,,Parallel,,,,6,,,,,,,
2007494,AZCAM15 - 20240312,AZ015,-80.15635,7.4265,30/01/2024 0:00,12/03/2024 0:00,None,,Other,,2105675,AZCAM15,1,Camera Functioning,Knee height,,Parallel,,,,7,,,,,,,
2007494,AZCAM29 - 20240315,AZ029,-80.20663,7.44448,01/02/2024 0:00,15/03/2024 0:00,None,,Other,,2105814,AZCAM29,1,Camera Functioning,Knee height,,Parallel,,,,4,,,,,,,
2007494,AZCAM14 - 20240315,AZ014,-80.15968,7.4223,30/01/2024 0:00,15/03/2024 0:00,None,,Other,,2105635,AZCAM14,1,Camera Functioning,Knee height,,Parallel,,,,4,,,,,,,
2007494,AZCAM22 - 20240315,AZ022,-80.20664,7.44198,29/01/2024 0:00,15/03/2024 0:00,None,,Other,,2105807,AZCAM22,2,Camera Functioning,Knee height,,Parallel,,,,3,,,,,,,
2007494,AZCAM05 - 20240322,AZ005,-80.16959,7.41728,26/01/2024 0:00,11/03/2024 0:00,None,,Other,,2105356,AZCAM05,0,Camera Functioning,Knee height,,Parallel,,,,4,,,,,,,
2007494,AZCAM46 - 20240318,AZ046,-80.08287,7.45,08/02/2024 0:00,18/03/2024 0:00,None,,Other,,2105969,AZCAM46,1,Camera Functioning,Knee height,,Parallel,,,,5,,,,,,,
2007494,AZCAM35 - 20240319,AZ035,-80.08364,7.43783,07/02/2024 0:00,19/03/2024 0:00,None,,Other,,2105904,AZCAM35,1,Camera Functioning,Knee height,,Parallel,,,,11.5,,,,,,,
2007494,AZCAM07 - 20240322,AZ007,-80.16465,7.41728,26/01/2024 0:00,22/03/2024 0:00,None,,Other,,2105531,AZCAM07,1,Camera Functioning,Knee height,,Parallel,,,,5.5,,,,,,,
2007494,AZCAM51 - 20240318,AZ051,-80.08086,7.45195,08/02/2024 0:00,18/03/2024 0:00,None,,Other,,2106212,AZCAM51,1,Camera Functioning,Knee height,,Parallel,,,,6,,,,,,,
